"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\package-lock.json", "JSON", 0, 3316, 0, 1, 3317
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\package.json", "JSON", 0, 36, 0, 1, 37
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\app.js", "JavaScript", 58, 0, 22, 13, 93
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\connections\mongoose.js", "JavaScript", 11, 0, 18, 4, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\connections\server.js", "JavaScript", 11, 0, 21, 3, 35
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\admin.controller.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\agent.controller.js", "JavaScript", 36, 0, 22, 8, 66
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\asesor.controller.js", "JavaScript", 58, 0, 0, 8, 66
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\auth.controller.js", "JavaScript", 80, 0, 9, 11, 100
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\checkAuth.controller.js", "JavaScript", 24, 0, 1, 3, 28
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\guardian.controller.js", "JavaScript", 30, 0, 0, 3, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\login.controller.js", "JavaScript", 23, 0, 0, 9, 32
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\observaciones.controller.js", "JavaScript", 96, 0, 0, 9, 105
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\profesor.controller.js", "JavaScript", 30, 0, 0, 7, 37
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\student.controller.js", "JavaScript", 275, 0, 8, 34, 317
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\controllers\vinculacionGuardian.controller.js", "JavaScript", 50, 0, 0, 3, 53
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\middlewares\verifyAuthToken.js", "JavaScript", 17, 0, 1, 4, 22
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\middlewares\verifyToken.js", "JavaScript", 29, 0, 2, 5, 36
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\middlewares\verifyTokenOwner.js", "JavaScript", 27, 0, 3, 3, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\Admin.model.js", "JavaScript", 22, 0, 0, 6, 28
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\Asesor.model.js", "JavaScript", 27, 0, 0, 6, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\Guardian.model.js", "JavaScript", 30, 0, 1, 6, 37
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\Observaciones.model.js", "JavaScript", 37, 0, 0, 3, 40
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\Profesor.model.js", "JavaScript", 26, 0, 1, 6, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\Student.model.js", "JavaScript", 81, 0, 1, 13, 95
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\models\VinculacionGuardian.js", "JavaScript", 28, 0, 0, 3, 31
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\admin.route.js", "JavaScript", 6, 0, 0, 5, 11
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\agent.routes.js", "JavaScript", 6, 0, 0, 4, 10
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\asesor.routes.js", "JavaScript", 14, 0, 0, 9, 23
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\auth.routes.js", "JavaScript", 7, 0, 4, 6, 17
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\checkAuth.routes.js", "JavaScript", 6, 0, 0, 4, 10
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\guardian.route.js", "JavaScript", 10, 0, 0, 8, 18
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\login.routes.js", "JavaScript", 6, 0, 0, 5, 11
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\observaciones.routes.js", "JavaScript", 27, 0, 0, 6, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\profesor.routes.js", "JavaScript", 10, 0, 0, 8, 18
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\student.routes.js", "JavaScript", 22, 0, 0, 11, 33
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\routes\vinculacionGuardian.routes.js", "JavaScript", 21, 0, 0, 8, 29
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\services\admin.service.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\services\agent.service.js", "JavaScript", 181, 0, 0, 13, 194
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\backendTesis\tesisBackend\src\services\agentAsesor.service.js", "JavaScript", 185, 0, 45, 43, 273
